"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__CAG-873"	"Treatment"	"FMT"	"TreatmentFMT"	4.23555725620311	0	1.04454785322744	5.01516126763031e-05	0.00562692746605635	0.000100300710168352	0.00668433778768162	NA	"prevalence"	48	21
"g__Lepagella"	"Treatment"	"FMT"	"TreatmentFMT"	2.85483216895249	0	0.726247248950581	8.46154506173887e-05	0.00562692746605635	0.000169223741460294	0.00668433778768162	NA	"prevalence"	48	26
"g__Sporofaciens"	"Treatment"	"FMT"	"TreatmentFMT"	-4.18080945372543	-0.635531497930442	0.915157146204515	0.00246695914354877	0.0788539367913867	0.00492783239968161	0.116520081739135	NA	"abundance"	48	15
"g__Duncaniella"	"Treatment"	"FMT"	"TreatmentFMT"	5.822063140568	0	2.0310609199385	0.00415020719954667	0.0788539367913867	0.00828319017929417	0.116520081739135	NA	"prevalence"	48	30
"g__Eubacterium_G_180878"	"Treatment"	"FMT"	"TreatmentFMT"	2.32798417301011	0	0.806482799342192	0.00389442899367597	0.0788539367913867	0.00777369141016516	0.116520081739135	NA	"prevalence"	48	15
"g__Sporofaciens"	"Treatment"	"FMT"	"TreatmentFMT"	2.32798417301011	0	0.806482799342192	0.00389442899367597	0.0788539367913867	0.00492783239968161	0.116520081739135	NA	"prevalence"	48	15
"f__Coprobacillaceae Family"	"Treatment"	"FMT"	"TreatmentFMT"	1.91060302849373	0	0.717680266901492	0.0077633464918802	0.098083359944968	0.0154664234350074	0.14126049785687	NA	"prevalence"	48	16
"g__Alistipes_A_871400"	"Treatment"	"FMT"	"TreatmentFMT"	2.65090442177668	0	1.00526350776041	0.00836368096313125	0.098083359944968	0.0166574107670095	0.14126049785687	NA	"prevalence"	48	12
"g__Choladousia"	"Treatment"	"FMT"	"TreatmentFMT"	5.49700945254261	0	2.09985104764685	0.00884962646120012	0.098083359944968	0.00884962646120012	0.116520081739135	NA	"prevalence"	48	18
"g__Faecalibaculum"	"Treatment"	"FMT"	"TreatmentFMT"	1.91060302849373	0	0.717680266901491	0.00776334649188021	0.098083359944968	0.0154664234350074	0.14126049785687	NA	"prevalence"	48	16
"g__Dubosiella"	"Treatment"	"FMT"	"TreatmentFMT"	5.18965741163437	0	2.01655937877941	0.0100669609180745	0.102992754007993	0.020032578134023	0.14126049785687	NA	"prevalence"	48	33
"g__Adlercreutzia_A_404199"	"Treatment"	"FMT"	"TreatmentFMT"	2.49012954914684	0	1.0072809044531	0.0134310588149108	0.127595058741653	0.026681724288932	0.16214278606351	NA	"prevalence"	48	11
"g__Lactobacillus"	"Treatment"	"FMT"	"TreatmentFMT"	1.75378804589947	0	0.717680266901492	0.0145379148917359	0.128902845373392	0.0288644788140725	0.162878130450838	NA	"prevalence"	48	15
"g__Clostridium_T"	"Treatment"	"FMT"	"TreatmentFMT"	-3.07088844700695	-0.635531497930442	0.940374476805821	0.0179453896176144	0.14917105119642	0.0179453896176144	0.14126049785687	NA	"abundance"	48	26
"g__Akkermansia"	"Treatment"	"FMT"	"TreatmentFMT"	0.626145932474235	-0.635531497930442	0.368640141132719	0.0192884401581443	0.150903678884306	0.0382048363925544	0.199875426586256	NA	"abundance"	48	44
"g__Enterorhabdus"	"Treatment"	"FMT"	"TreatmentFMT"	4.81090498603114	0	2.09184341097041	0.0214572908137017	0.158545537679018	0.0214572908137017	0.14126049785687	NA	"prevalence"	48	14
"g__C-19"	"Treatment"	"FMT"	"TreatmentFMT"	-3.54787409714852	-0.635531497930442	1.16219512760505	0.0301872003956869	0.211310402769808	0.0594631337236444	0.260977086898217	NA	"abundance"	48	13
"g__Paraclostridium"	"Treatment"	"FMT"	"TreatmentFMT"	-2.75817771379943	-0.635531497930442	0.942412782386533	0.0404810990554443	0.269199308718704	0.0404810990554443	0.199875426586256	NA	"abundance"	48	19
"g__Emergencia"	"Treatment"	"FMT"	"TreatmentFMT"	-2.76153445970285	-0.635531497930442	0.902410619286191	0.0493335278812648	0.312445676581344	0.096233258789318	0.345564883834369	NA	"abundance"	48	10
"f__Muribaculaceae Family"	"Treatment"	"FMT"	"TreatmentFMT"	4.01172629338037	0	2.09436471466965	0.055430552663524	0.324906725408933	0.055430552663524	0.257589038848141	NA	"prevalence"	48	9
"g__Laedolimicola"	"Treatment"	"FMT"	"TreatmentFMT"	1.27631075864018	0	0.668371318685299	0.0561868773263568	0.324906725408933	0.109216789469027	0.359505265335546	NA	"prevalence"	48	15
